CreditStatus,DurationMonth,CreditHistory,Purpose,CreditAmount,InstallmentRate,Age,OtherInstallmentPlans,Housing,NumExistingCredits,Job
1,6,A34,A43,1169,4,67,A143,A152,2,A173
2,48,A32,A43,5951,2,22,A143,A152,1,A173
1,12,A34,A46,2096,2,49,A143,A152,1,A172
1,42,A32,A42,7882,2,45,A143,A153,1,A173
2,24,A33,A40,4870,3,53,A143,A153,2,A173
1,36,A32,A46,9055,2,35,A143,A153,1,A172
1,24,A32,A42,2835,3,53,A143,A152,1,A173
1,36,A32,A41,6948,2,35,A143,A151,1,A174
1,12,A32,A43,3059,2,61,A143,A152,1,A172
2,30,A34,A40,5234,4,28,A143,A152,2,A174
2,12,A32,A40,1295,3,25,A143,A151,1,A173
2,48,A32,A49,4308,3,24,A143,A151,1,A173
1,12,A32,A43,1567,1,22,A143,A152,1,A173
2,24,A34,A40,1199,4,60,A143,A152,2,A172
1,15,A32,A40,1403,2,28,A143,A151,1,A173
2,24,A32,A43,1282,4,32,A143,A152,1,A172
1,24,A34,A43,2424,4,53,A143,A152,2,A173
1,30,A30,A49,8072,2,25,A141,A152,3,A173
2,24,A32,A41,12579,4,44,A143,A153,1,A174
1,24,A32,A43,3430,3,31,A143,A152,1,A173
1,9,A34,A40,2134,4,48,A143,A152,3,A173
1,6,A32,A43,2647,2,44,A143,A151,1,A173
1,10,A34,A40,2241,1,48,A143,A151,2,A172
1,12,A34,A41,1804,3,44,A143,A152,1,A173
1,10,A34,A42,2069,2,26,A143,A152,2,A173
1,6,A32,A42,1374,1,36,A141,A152,1,A172
1,6,A30,A43,426,4,39,A143,A152,1,A172
1,12,A31,A43,409,3,42,A143,A151,2,A173
1,7,A32,A43,2415,3,34,A143,A152,1,A173
2,60,A33,A49,6836,3,63,A143,A152,2,A173
1,18,A32,A49,1913,3,36,A141,A152,1,A173
1,24,A32,A42,4020,2,27,A142,A152,1,A173
1,18,A32,A40,5866,2,30,A143,A152,2,A173
